filename,species,species_confidence,family,family_confidence,quality,export_path,crop_path,crops_json,primary_crop_index,scene_count,feature_similarity,feature_confidence,color_similarity,color_confidence,similar,secondary_species_list,secondary_species_scores,secondary_family_list,secondary_family_scores,exposure_correction,exposure_pipeline,exposure_subject_stops,exposure_meter_scale,detection_scores,capture_time,orientation
IMG_1440.CR3,Orange-crowned Warbler,0.8605866432189941,Warbler sp.,0.9088945984840393,0.8511015389416668,.kestrel\export\IMG_1440_export.jpg,.kestrel\crop\IMG_1440_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1440_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9992306232452393, ""species"": ""Orange-crowned Warbler"", ""species_confidence"": 0.8605866432189941, ""family"": ""Warbler sp."", ""family_confidence"": 0.9088945984840393, ""quality"": 0.8511015389416668, ""rating"": 5, ""exposure_correction"": 2.4649, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.8669, ""exposure_meter_scale"": 1.513645, ""bbox"": {""x_min"": 2345, ""x_max"": 4531, ""y_min"": 1375, ""y_max"": 3561, ""width"": 2186, ""height"": 2186, ""x_min_norm"": 0.33576746849942724, ""x_max_norm"": 0.6487686139747996, ""y_min_norm"": 0.29506437768240346, ""y_max_norm"": 0.7641630901287554, ""x_center_norm"": 0.49226804123711343, ""y_center_norm"": 0.5296137339055794}}]",0,1,-1,-1,-1,-1,False,"[""Orange-crowned Warbler""]",[0.8605866432189941],"[""Warbler sp.""]",[0.9088945984840393],2.4649,no_auto_bright_metered_v1,1.8669,1.513645,[0.9992306232452393],2026-04-02T07:25:00,landscape
IMG_1441.CR3,Orange-crowned Warbler,0.7186083793640137,Warbler sp.,0.7790389657020569,0.8131853275317483,.kestrel\export\IMG_1441_export.jpg,.kestrel\crop\IMG_1441_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1441_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9985758066177368, ""species"": ""Orange-crowned Warbler"", ""species_confidence"": 0.7186083793640137, ""family"": ""Warbler sp."", ""family_confidence"": 0.7790389657020569, ""quality"": 0.8131853275317483, ""rating"": 4, ""exposure_correction"": 1.9321, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.3263, ""exposure_meter_scale"": 1.52185, ""bbox"": {""x_min"": 2438, ""x_max"": 4624, ""y_min"": 1324, ""y_max"": 3510, ""width"": 2186, ""height"": 2186, ""x_min_norm"": 0.3490836197021764, ""x_max_norm"": 0.6620847651775487, ""y_min_norm"": 0.28412017167381975, ""y_max_norm"": 0.7532188841201717, ""x_center_norm"": 0.5055841924398625, ""y_center_norm"": 0.5186695278969957}}]",0,1,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler""]",[0.7186083793640137],"[""Warbler sp.""]",[0.7790389657020569],1.9321,no_auto_bright_metered_v1,1.3263,1.52185,[0.9985758066177368],2026-04-02T07:25:01,landscape
IMG_1442.CR3,Orange-crowned Warbler,0.863647997379303,Warbler sp.,0.905444860458374,0.7402548400549678,.kestrel\export\IMG_1442_export.jpg,.kestrel\crop\IMG_1442_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1442_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9988504648208618, ""species"": ""Orange-crowned Warbler"", ""species_confidence"": 0.863647997379303, ""family"": ""Warbler sp."", ""family_confidence"": 0.905444860458374, ""quality"": 0.7402548400549678, ""rating"": 4, ""exposure_correction"": 2.17, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.5548, ""exposure_meter_scale"": 1.53172, ""bbox"": {""x_min"": 2595, ""x_max"": 4746, ""y_min"": 1298, ""y_max"": 3449, ""width"": 2151, ""height"": 2151, ""x_min_norm"": 0.3715635738831615, ""x_max_norm"": 0.679553264604811, ""y_min_norm"": 0.27854077253218884, ""y_max_norm"": 0.7401287553648068, ""x_center_norm"": 0.5255584192439863, ""y_center_norm"": 0.5093347639484979}}]",0,1,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler""]",[0.863647997379303],"[""Warbler sp.""]",[0.905444860458374],2.17,no_auto_bright_metered_v1,1.5548,1.53172,[0.9988504648208618],2026-04-02T07:25:02,landscape
IMG_1443.CR3,Orange-crowned Warbler,0.3518616557121277,Warbler sp.,0.7265297770500183,0.3046949847046472,.kestrel\export\IMG_1443_export.jpg,.kestrel\crop\IMG_1443_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1443_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.995390772819519, ""species"": ""Orange-crowned Warbler"", ""species_confidence"": 0.3518616557121277, ""family"": ""Warbler sp."", ""family_confidence"": 0.7265297770500183, ""quality"": 0.3046949847046472, ""rating"": 2, ""exposure_correction"": 2.4475, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.775, ""exposure_meter_scale"": 1.593856, ""bbox"": {""x_min"": 2295, ""x_max"": 4516, ""y_min"": 1668, ""y_max"": 3889, ""width"": 2221, ""height"": 2221, ""x_min_norm"": 0.3286082474226804, ""x_max_norm"": 0.6466208476517755, ""y_min_norm"": 0.3579399141630901, ""y_max_norm"": 0.8345493562231759, ""x_center_norm"": 0.48761454753722794, ""y_center_norm"": 0.5962446351931331}}]",0,1,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler""]",[0.3518616557121277],"[""Warbler sp.""]",[0.7265297770500183],2.4475,no_auto_bright_metered_v1,1.775,1.593856,[0.995390772819519],2026-04-02T07:25:03,landscape
IMG_1444.CR3,Orange-crowned Warbler,0.3592436611652374,Warbler sp.,0.5216506123542786,0.22445602604210818,.kestrel\export\IMG_1444_export.jpg,.kestrel\crop\IMG_1444_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1444_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9994465708732605, ""species"": ""Orange-crowned Warbler"", ""species_confidence"": 0.3592436611652374, ""family"": ""Warbler sp."", ""family_confidence"": 0.5216506123542786, ""quality"": 0.22445602604210818, ""rating"": 2, ""exposure_correction"": 2.4524, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.7861, ""exposure_meter_scale"": 1.587062, ""bbox"": {""x_min"": 2180, ""x_max"": 4273, ""y_min"": 1703, ""y_max"": 3796, ""width"": 2093, ""height"": 2093, ""x_min_norm"": 0.31214203894616266, ""x_max_norm"": 0.6118270332187858, ""y_min_norm"": 0.365450643776824, ""y_max_norm"": 0.8145922746781116, ""x_center_norm"": 0.46198453608247425, ""y_center_norm"": 0.5900214592274678}}]",0,1,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler""]",[0.3592436611652374],"[""Warbler sp.""]",[0.5216506123542786],2.4524,no_auto_bright_metered_v1,1.7861,1.587062,[0.9994465708732605],2026-04-02T07:25:04,landscape
IMG_1445.CR3,Orange-crowned Warbler,0.4964714050292969,Warbler sp.,0.6953713893890381,0.2322531231352856,.kestrel\export\IMG_1445_export.jpg,.kestrel\crop\IMG_1445_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1445_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9994024038314819, ""species"": ""Orange-crowned Warbler"", ""species_confidence"": 0.4964714050292969, ""family"": ""Warbler sp."", ""family_confidence"": 0.6953713893890381, ""quality"": 0.2322531231352856, ""rating"": 2, ""exposure_correction"": 2.4645, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.7928, ""exposure_meter_scale"": 1.592912, ""bbox"": {""x_min"": 2106, ""x_max"": 4222, ""y_min"": 1680, ""y_max"": 3796, ""width"": 2116, ""height"": 2116, ""x_min_norm"": 0.3015463917525773, ""x_max_norm"": 0.604524627720504, ""y_min_norm"": 0.3605150214592275, ""y_max_norm"": 0.8145922746781116, ""x_center_norm"": 0.45303550973654066, ""y_center_norm"": 0.5875536480686695}}]",0,1,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler""]",[0.4964714050292969],"[""Warbler sp.""]",[0.6953713893890381],2.4645,no_auto_bright_metered_v1,1.7928,1.592912,[0.9994024038314819],2026-04-02T07:25:05,landscape
IMG_1446.CR3,Orange-crowned Warbler,0.5482719540596008,Warbler sp.,0.8387619853019714,0.3102158103166936,.kestrel\export\IMG_1446_export.jpg,.kestrel\crop\IMG_1446_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1446_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9761389493942261, ""species"": ""Orange-crowned Warbler"", ""species_confidence"": 0.5482719540596008, ""family"": ""Warbler sp."", ""family_confidence"": 0.8387619853019714, ""quality"": 0.3102158103166936, ""rating"": 2, ""exposure_correction"": 2.2073, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.5738, ""exposure_meter_scale"": 1.551417, ""bbox"": {""x_min"": 1969, ""x_max"": 4249, ""y_min"": 1310, ""y_max"": 3590, ""width"": 2280, ""height"": 2280, ""x_min_norm"": 0.28193012600229095, ""x_max_norm"": 0.6083906071019473, ""y_min_norm"": 0.2811158798283262, ""y_max_norm"": 0.7703862660944206, ""x_center_norm"": 0.4451603665521191, ""y_center_norm"": 0.5257510729613734}}]",0,1,0.54,1.0,0,0,True,"[""Orange-crowned Warbler""]",[0.5482719540596008],"[""Warbler sp.""]",[0.8387619853019714],2.2073,no_auto_bright_metered_v1,1.5738,1.551417,[0.9761389493942261],2026-04-02T07:25:06,landscape
IMG_1447.CR3,Orange-crowned Warbler,0.6716734766960144,Warbler sp.,0.7165290713310242,0.5348767981685038,.kestrel\export\IMG_1447_export.jpg,.kestrel\crop\IMG_1447_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1447_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9888112545013428, ""species"": ""Orange-crowned Warbler"", ""species_confidence"": 0.6716734766960144, ""family"": ""Warbler sp."", ""family_confidence"": 0.7165290713310242, ""quality"": 0.5348767981685038, ""rating"": 3, ""exposure_correction"": 2.2815, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.6464, ""exposure_meter_scale"": 1.553078, ""bbox"": {""x_min"": 2181, ""x_max"": 4239, ""y_min"": 1688, ""y_max"": 3746, ""width"": 2058, ""height"": 2058, ""x_min_norm"": 0.3122852233676976, ""x_max_norm"": 0.6069587628865979, ""y_min_norm"": 0.3622317596566524, ""y_max_norm"": 0.803862660944206, ""x_center_norm"": 0.45962199312714774, ""y_center_norm"": 0.5830472103004292}}]",0,1,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler""]",[0.6716734766960144],"[""Warbler sp.""]",[0.7165290713310242],2.2815,no_auto_bright_metered_v1,1.6464,1.553078,[0.9888112545013428],2026-04-02T07:25:07,landscape
IMG_1448.CR3,Orange-crowned Warbler,0.8536837100982666,Warbler sp.,0.9057533740997314,0.49496577142268755,.kestrel\export\IMG_1448_export.jpg,.kestrel\crop\IMG_1448_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1448_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9986352324485779, ""species"": ""Orange-crowned Warbler"", ""species_confidence"": 0.8536837100982666, ""family"": ""Warbler sp."", ""family_confidence"": 0.9057533740997314, ""quality"": 0.49496577142268755, ""rating"": 3, ""exposure_correction"": 2.4406, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.7564, ""exposure_meter_scale"": 1.606807, ""bbox"": {""x_min"": 2681, ""x_max"": 4750, ""y_min"": 1657, ""y_max"": 3726, ""width"": 2069, ""height"": 2069, ""x_min_norm"": 0.3838774341351661, ""x_max_norm"": 0.6801260022909508, ""y_min_norm"": 0.3555793991416309, ""y_max_norm"": 0.7995708154506438, ""x_center_norm"": 0.5320017182130584, ""y_center_norm"": 0.5775751072961374}}, {""crop_index"": 1, ""crop_path"": "".kestrel\\crop\\IMG_1448_crop_1.jpg"", ""detection_index"": 1, ""detection_confidence"": 0.785502016544342, ""species"": ""Vaux's Swift"", ""species_confidence"": 0.2597289979457855, ""family"": ""Swift sp."", ""family_confidence"": 0.42143362760543823, ""quality"": 0.1497333961931312, ""rating"": 1, ""exposure_correction"": 1.8956, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.2114, ""exposure_meter_scale"": 1.606807, ""bbox"": {""x_min"": 2816, ""x_max"": 4056, ""y_min"": 1209, ""y_max"": 2449, ""width"": 1240, ""height"": 1240, ""x_min_norm"": 0.4032073310423826, ""x_max_norm"": 0.5807560137457045, ""y_min_norm"": 0.2594420600858369, ""y_max_norm"": 0.5255364806866952, ""x_center_norm"": 0.4919816723940435, ""y_center_norm"": 0.3924892703862661}}]",0,1,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler"", ""Vaux's Swift""]","[0.8536837100982666, 0.2597289979457855]","[""Warbler sp."", ""Swift sp.""]","[0.9057533740997314, 0.42143362760543823]",2.4406,no_auto_bright_metered_v1,1.7564,1.606807,"[0.9986352324485779, 0.785502016544342]",2026-04-02T07:25:08,landscape
IMG_1449.CR3,Orange-crowned Warbler,0.8512496948242188,Warbler sp.,0.8770582675933838,0.5641582173473113,.kestrel\export\IMG_1449_export.jpg,.kestrel\crop\IMG_1449_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1449_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9989423155784607, ""species"": ""Orange-crowned Warbler"", ""species_confidence"": 0.8512496948242188, ""family"": ""Warbler sp."", ""family_confidence"": 0.8770582675933838, ""quality"": 0.5641582173473113, ""rating"": 3, ""exposure_correction"": 2.4253, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.736, ""exposure_meter_scale"": 1.612402, ""bbox"": {""x_min"": 2627, ""x_max"": 4685, ""y_min"": 1552, ""y_max"": 3610, ""width"": 2058, ""height"": 2058, ""x_min_norm"": 0.3761454753722795, ""x_max_norm"": 0.6708190148911798, ""y_min_norm"": 0.33304721030042916, ""y_max_norm"": 0.7746781115879828, ""x_center_norm"": 0.5234822451317297, ""y_center_norm"": 0.553862660944206}}]",0,1,-1.0,-1.0,-1.0,-1.0,True,"[""Orange-crowned Warbler""]",[0.8512496948242188],"[""Warbler sp.""]",[0.8770582675933838],2.4253,no_auto_bright_metered_v1,1.736,1.612402,[0.9989423155784607],2026-04-02T07:25:09,landscape
