filename,species,species_confidence,family,family_confidence,quality,export_path,crop_path,crops_json,primary_crop_index,scene_count,feature_similarity,feature_confidence,color_similarity,color_confidence,similar,secondary_species_list,secondary_species_scores,secondary_family_list,secondary_family_scores,exposure_correction,exposure_pipeline,exposure_subject_stops,exposure_meter_scale,detection_scores,capture_time,orientation
IMG_1813.CR3,Chipping Sparrow,0.4284633994102478,Sparrow sp.,0.9801214933395386,0.581201461189597,.kestrel\export\IMG_1813_export.jpg,.kestrel\crop\IMG_1813_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1813_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.994950532913208, ""species"": ""Chipping Sparrow"", ""species_confidence"": 0.4284633994102478, ""family"": ""Sparrow sp."", ""family_confidence"": 0.9801214933395386, ""quality"": 0.581201461189597, ""rating"": 3, ""exposure_correction"": 1.7861, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.8039, ""exposure_meter_scale"": 0.987724, ""bbox"": {""x_min"": 2578, ""x_max"": 4005, ""y_min"": 1650, ""y_max"": 3077, ""width"": 1427, ""height"": 1427, ""x_min_norm"": 0.3691294387170676, ""x_max_norm"": 0.5734536082474226, ""y_min_norm"": 0.3540772532188841, ""y_max_norm"": 0.6603004291845493, ""x_center_norm"": 0.4712915234822451, ""y_center_norm"": 0.5071888412017167}}, {""crop_index"": 1, ""crop_path"": "".kestrel\\crop\\IMG_1813_crop_1.jpg"", ""detection_index"": 1, ""detection_confidence"": 0.8080247044563293, ""species"": ""House Wren"", ""species_confidence"": 0.19199800491333008, ""family"": ""Owl sp."", ""family_confidence"": 0.22036397457122803, ""quality"": 0.2786643139020777, ""rating"": 2, ""exposure_correction"": 1.9769, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.9947, ""exposure_meter_scale"": 0.987724, ""bbox"": {""x_min"": 1649, ""x_max"": 2083, ""y_min"": 1659, ""y_max"": 2093, ""width"": 434, ""height"": 434, ""x_min_norm"": 0.2361111111111111, ""x_max_norm"": 0.29825315005727376, ""y_min_norm"": 0.35600858369098715, ""y_max_norm"": 0.44914163090128756, ""x_center_norm"": 0.26718213058419243, ""y_center_norm"": 0.4025751072961373}}]",0,1,-1,-1,-1,-1,False,"[""Chipping Sparrow"", ""House Wren""]","[0.4284633994102478, 0.19199800491333008]","[""Sparrow sp."", ""Owl sp.""]","[0.9801214933395386, 0.22036397457122803]",1.7861,no_auto_bright_metered_v1,1.8039,0.987724,"[0.994950532913208, 0.8080247044563293]",2026-04-02T14:05:00,landscape
IMG_1815.CR3,Chipping Sparrow,0.4371064007282257,Sparrow sp.,0.9498084783554077,0.5255574350877501,.kestrel\export\IMG_1815_export.jpg,.kestrel\crop\IMG_1815_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1815_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9971471428871155, ""species"": ""Chipping Sparrow"", ""species_confidence"": 0.4371064007282257, ""family"": ""Sparrow sp."", ""family_confidence"": 0.9498084783554077, ""quality"": 0.5255574350877501, ""rating"": 3, ""exposure_correction"": 1.6416, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.5902, ""exposure_meter_scale"": 1.03623, ""bbox"": {""x_min"": 2409, ""x_max"": 3801, ""y_min"": 1517, ""y_max"": 2909, ""width"": 1392, ""height"": 1392, ""x_min_norm"": 0.3449312714776632, ""x_max_norm"": 0.5442439862542955, ""y_min_norm"": 0.3255364806866953, ""y_max_norm"": 0.6242489270386266, ""x_center_norm"": 0.44458762886597936, ""y_center_norm"": 0.47489270386266097}}, {""crop_index"": 1, ""crop_path"": "".kestrel\\crop\\IMG_1815_crop_1.jpg"", ""detection_index"": 1, ""detection_confidence"": 0.9454941153526306, ""species"": ""House Wren"", ""species_confidence"": 0.19783441722393036, ""family"": ""Wren sp."", ""family_confidence"": 0.29142606258392334, ""quality"": 0.272539948767804, ""rating"": 2, ""exposure_correction"": 2.1639, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 2.1125, ""exposure_meter_scale"": 1.03623, ""bbox"": {""x_min"": 1442, ""x_max"": 1876, ""y_min"": 1489, ""y_max"": 1923, ""width"": 434, ""height"": 434, ""x_min_norm"": 0.20647193585337914, ""x_max_norm"": 0.2686139747995418, ""y_min_norm"": 0.31952789699570816, ""y_max_norm"": 0.4126609442060086, ""x_center_norm"": 0.23754295532646047, ""y_center_norm"": 0.3660944206008584}}]",0,1,-1.0,-1.0,-1.0,-1.0,True,"[""Chipping Sparrow"", ""House Wren""]","[0.4371064007282257, 0.19783441722393036]","[""Sparrow sp."", ""Wren sp.""]","[0.9498084783554077, 0.29142606258392334]",1.6416,no_auto_bright_metered_v1,1.5902,1.03623,"[0.9971471428871155, 0.9454941153526306]",2026-04-02T14:05:01,landscape
IMG_1817.CR3,Black-billed Cuckoo,0.1779288500547409,Cuckoo/Roadrunner sp.,0.2976439595222473,0.40439968369878293,.kestrel\export\IMG_1817_export.jpg,.kestrel\crop\IMG_1817_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1817_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9949114918708801, ""species"": ""Black-billed Cuckoo"", ""species_confidence"": 0.1779288500547409, ""family"": ""Cuckoo/Roadrunner sp."", ""family_confidence"": 0.2976439595222473, ""quality"": 0.40439968369878293, ""rating"": 3, ""exposure_correction"": 1.4596, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 1.4722, ""exposure_meter_scale"": 0.991273, ""bbox"": {""x_min"": 2223, ""x_max"": 3627, ""y_min"": 2107, ""y_max"": 3511, ""width"": 1404, ""height"": 1404, ""x_min_norm"": 0.31829896907216493, ""x_max_norm"": 0.5193298969072165, ""y_min_norm"": 0.4521459227467811, ""y_max_norm"": 0.7534334763948498, ""x_center_norm"": 0.41881443298969073, ""y_center_norm"": 0.6027896995708154}}, {""crop_index"": 1, ""crop_path"": "".kestrel\\crop\\IMG_1817_crop_1.jpg"", ""detection_index"": 1, ""detection_confidence"": 0.8077747225761414, ""species"": ""Eastern Whip-poor-will"", ""species_confidence"": 0.0863758772611618, ""family"": ""Hummingbird sp."", ""family_confidence"": 0.1435588002204895, ""quality"": 0.2724396241726051, ""rating"": 2, ""exposure_correction"": 2.3638, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 2.3765, ""exposure_meter_scale"": 0.991273, ""bbox"": {""x_min"": 1182, ""x_max"": 1593, ""y_min"": 2036, ""y_max"": 2447, ""width"": 411, ""height"": 411, ""x_min_norm"": 0.16924398625429554, ""x_max_norm"": 0.22809278350515463, ""y_min_norm"": 0.4369098712446352, ""y_max_norm"": 0.5251072961373391, ""x_center_norm"": 0.19866838487972507, ""y_center_norm"": 0.48100858369098715}}, {""crop_index"": 2, ""crop_path"": "".kestrel\\crop\\IMG_1817_crop_2.jpg"", ""detection_index"": 2, ""detection_confidence"": 0.7640911340713501, ""species"": ""Broad-winged Hawk"", ""species_confidence"": 0.13014505803585052, ""family"": ""Hawk/Eagle/Kite sp."", ""family_confidence"": 0.3781430125236511, ""quality"": 0.16266733107502207, ""rating"": 2, ""exposure_correction"": 0.3505, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 0.3632, ""exposure_meter_scale"": 0.991273, ""bbox"": {""x_min"": 1550, ""x_max"": 1751, ""y_min"": 971, ""y_max"": 1172, ""width"": 201, ""height"": 201, ""x_min_norm"": 0.22193585337915234, ""x_max_norm"": 0.2507159221076747, ""y_min_norm"": 0.20836909871244635, ""y_max_norm"": 0.2515021459227468, ""x_center_norm"": 0.2363258877434135, ""y_center_norm"": 0.22993562231759657}}]",0,1,-1.0,-1.0,-1.0,-1.0,True,"[""Black-billed Cuckoo"", ""Eastern Whip-poor-will"", ""Broad-winged Hawk""]","[0.1779288500547409, 0.0863758772611618, 0.13014505803585052]","[""Cuckoo/Roadrunner sp."", ""Hummingbird sp."", ""Hawk/Eagle/Kite sp.""]","[0.2976439595222473, 0.1435588002204895, 0.3781430125236511]",1.4596,no_auto_bright_metered_v1,1.4722,0.991273,"[0.9949114918708801, 0.8077747225761414, 0.7640911340713501]",2026-04-02T14:05:02,landscape
IMG_1818.CR3,Black-billed Cuckoo,0.2592921853065491,Cuckoo/Roadrunner sp.,0.3992839753627777,0.35085818996808704,.kestrel\export\IMG_1818_export.jpg,.kestrel\crop\IMG_1818_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_1818_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9940106272697449, ""species"": ""Black-billed Cuckoo"", ""species_confidence"": 0.2592921853065491, ""family"": ""Cuckoo/Roadrunner sp."", ""family_confidence"": 0.3992839753627777, ""quality"": 0.35085818996808704, ""rating"": 2, ""exposure_correction"": 2.0511, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": 2.1133, ""exposure_meter_scale"": 0.957809, ""bbox"": {""x_min"": 2104, ""x_max"": 3543, ""y_min"": 1982, ""y_max"": 3421, ""width"": 1439, ""height"": 1439, ""x_min_norm"": 0.30126002290950743, ""x_max_norm"": 0.5073024054982818, ""y_min_norm"": 0.4253218884120172, ""y_max_norm"": 0.7341201716738197, ""x_center_norm"": 0.4042812142038946, ""y_center_norm"": 0.5797210300429184}}]",0,1,-1.0,-1.0,-1.0,-1.0,True,"[""Black-billed Cuckoo""]",[0.2592921853065491],"[""Cuckoo/Roadrunner sp.""]",[0.3992839753627777],2.0511,no_auto_bright_metered_v1,2.1133,0.957809,[0.9940106272697449],2026-04-02T14:05:03,landscape
IMG_2031.CR3,American Goldfinch,0.9843478202819824,Finch sp.,0.990763247013092,0.6798697132064538,.kestrel\export\IMG_2031_export.jpg,.kestrel\crop\IMG_2031_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_2031_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9978957176208496, ""species"": ""American Goldfinch"", ""species_confidence"": 0.9843478202819824, ""family"": ""Finch sp."", ""family_confidence"": 0.990763247013092, ""quality"": 0.6798697132064538, ""rating"": 4, ""exposure_correction"": -0.1679, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": -0.3694, ""exposure_meter_scale"": 1.149949, ""bbox"": {""x_min"": 2293, ""x_max"": 3825, ""y_min"": 1950, ""y_max"": 3482, ""width"": 1532, ""height"": 1532, ""x_min_norm"": 0.32832187857961054, ""x_max_norm"": 0.5476804123711341, ""y_min_norm"": 0.4184549356223176, ""y_max_norm"": 0.7472103004291846, ""x_center_norm"": 0.4380011454753723, ""y_center_norm"": 0.582832618025751}}]",0,2,0.0,1.0,0,0,False,"[""American Goldfinch""]",[0.9843478202819824],"[""Finch sp.""]",[0.990763247013092],-0.1679,no_auto_bright_metered_v1,-0.3694,1.149949,[0.9978957176208496],2026-04-02T14:27:00,landscape
IMG_2032.CR3,American Goldfinch,0.9876666069030762,Finch sp.,0.9917417168617249,0.2892848490410262,.kestrel\export\IMG_2032_export.jpg,.kestrel\crop\IMG_2032_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_2032_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9977739453315735, ""species"": ""American Goldfinch"", ""species_confidence"": 0.9876666069030762, ""family"": ""Finch sp."", ""family_confidence"": 0.9917417168617249, ""quality"": 0.2892848490410262, ""rating"": 2, ""exposure_correction"": -0.1706, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": -0.3856, ""exposure_meter_scale"": 1.160694, ""bbox"": {""x_min"": 2700, ""x_max"": 4220, ""y_min"": 2320, ""y_max"": 3840, ""width"": 1520, ""height"": 1520, ""x_min_norm"": 0.3865979381443299, ""x_max_norm"": 0.6042382588774341, ""y_min_norm"": 0.4978540772532189, ""y_max_norm"": 0.8240343347639485, ""x_center_norm"": 0.49541809851088203, ""y_center_norm"": 0.6609442060085837}}]",0,2,-1.0,-1.0,-1.0,-1.0,True,"[""American Goldfinch""]",[0.9876666069030762],"[""Finch sp.""]",[0.9917417168617249],-0.1706,no_auto_bright_metered_v1,-0.3856,1.160694,"[0.9977739453315735, 0.9667657613754272]",2026-04-02T14:27:01,landscape
IMG_2033.CR3,American Goldfinch,0.9584977030754089,Finch sp.,0.9727414846420288,0.7444925668989297,.kestrel\export\IMG_2033_export.jpg,.kestrel\crop\IMG_2033_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_2033_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9979743361473083, ""species"": ""American Goldfinch"", ""species_confidence"": 0.9584977030754089, ""family"": ""Finch sp."", ""family_confidence"": 0.9727414846420288, ""quality"": 0.7444925668989297, ""rating"": 4, ""exposure_correction"": -0.177, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": -0.4073, ""exposure_meter_scale"": 1.173101, ""bbox"": {""x_min"": 2649, ""x_max"": 4193, ""y_min"": 2461, ""y_max"": 4005, ""width"": 1544, ""height"": 1544, ""x_min_norm"": 0.3792955326460481, ""x_max_norm"": 0.6003722794959908, ""y_min_norm"": 0.5281115879828326, ""y_max_norm"": 0.8594420600858369, ""x_center_norm"": 0.48983390607101945, ""y_center_norm"": 0.6937768240343347}}]",0,2,-1.0,-1.0,-1.0,-1.0,True,"[""American Goldfinch""]",[0.9584977030754089],"[""Finch sp.""]",[0.9727414846420288],-0.177,no_auto_bright_metered_v1,-0.4073,1.173101,"[0.9979743361473083, 0.937670111656189]",2026-04-02T14:27:02,landscape
IMG_2034.CR3,American Goldfinch,0.9839372038841248,Finch sp.,0.9940891861915588,0.7809165049815376,.kestrel\export\IMG_2034_export.jpg,.kestrel\crop\IMG_2034_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_2034_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9983166456222534, ""species"": ""American Goldfinch"", ""species_confidence"": 0.9839372038841248, ""family"": ""Finch sp."", ""family_confidence"": 0.9940891861915588, ""quality"": 0.7809165049815376, ""rating"": 4, ""exposure_correction"": -0.3853, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": -0.4369, ""exposure_meter_scale"": 1.036401, ""bbox"": {""x_min"": 2817, ""x_max"": 4513, ""y_min"": 1785, ""y_max"": 3481, ""width"": 1696, ""height"": 1696, ""x_min_norm"": 0.40335051546391754, ""x_max_norm"": 0.6461912943871707, ""y_min_norm"": 0.3830472103004292, ""y_max_norm"": 0.7469957081545064, ""x_center_norm"": 0.5247709049255441, ""y_center_norm"": 0.5650214592274678}}]",0,2,-1.0,-1.0,-1.0,-1.0,True,"[""American Goldfinch""]",[0.9839372038841248],"[""Finch sp.""]",[0.9940891861915588],-0.3853,no_auto_bright_metered_v1,-0.4369,1.036401,[0.9983166456222534],2026-04-02T14:27:03,landscape
IMG_2035.CR3,American Goldfinch,0.9868446588516235,Finch sp.,0.9948007464408875,0.6616458982762778,.kestrel\export\IMG_2035_export.jpg,.kestrel\crop\IMG_2035_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_2035_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9985935091972351, ""species"": ""American Goldfinch"", ""species_confidence"": 0.9868446588516235, ""family"": ""Finch sp."", ""family_confidence"": 0.9948007464408875, ""quality"": 0.6616458982762778, ""rating"": 4, ""exposure_correction"": -0.375, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": -0.417, ""exposure_meter_scale"": 1.029555, ""bbox"": {""x_min"": 2650, ""x_max"": 4334, ""y_min"": 1704, ""y_max"": 3388, ""width"": 1684, ""height"": 1684, ""x_min_norm"": 0.37943871706758303, ""x_max_norm"": 0.620561282932417, ""y_min_norm"": 0.36566523605150214, ""y_max_norm"": 0.7270386266094421, ""x_center_norm"": 0.5, ""y_center_norm"": 0.5463519313304721}}]",0,2,-1.0,-1.0,-1.0,-1.0,True,"[""American Goldfinch""]",[0.9868446588516235],"[""Finch sp.""]",[0.9948007464408875],-0.375,no_auto_bright_metered_v1,-0.417,1.029555,[0.9985935091972351],2026-04-02T14:27:04,landscape
IMG_2036.CR3,American Goldfinch,0.9751128554344177,Finch sp.,0.994968056678772,0.7638219382191179,.kestrel\export\IMG_2036_export.jpg,.kestrel\crop\IMG_2036_crop_0.jpg,"[{""crop_index"": 0, ""crop_path"": "".kestrel\\crop\\IMG_2036_crop_0.jpg"", ""detection_index"": 0, ""detection_confidence"": 0.9977153539657593, ""species"": ""American Goldfinch"", ""species_confidence"": 0.9751128554344177, ""family"": ""Finch sp."", ""family_confidence"": 0.994968056678772, ""quality"": 0.7638219382191179, ""rating"": 4, ""exposure_correction"": -0.3885, ""exposure_pipeline"": ""no_auto_bright_metered_v1"", ""exposure_subject_stops"": -0.4464, ""exposure_meter_scale"": 1.04091, ""bbox"": {""x_min"": 2618, ""x_max"": 4314, ""y_min"": 1901, ""y_max"": 3597, ""width"": 1696, ""height"": 1696, ""x_min_norm"": 0.37485681557846506, ""x_max_norm"": 0.6176975945017182, ""y_min_norm"": 0.4079399141630901, ""y_max_norm"": 0.7718884120171674, ""x_center_norm"": 0.49627720504009165, ""y_center_norm"": 0.5899141630901288}}]",0,2,-1.0,-1.0,-1.0,-1.0,True,"[""American Goldfinch""]",[0.9751128554344177],"[""Finch sp.""]",[0.994968056678772],-0.3885,no_auto_bright_metered_v1,-0.4464,1.04091,[0.9977153539657593],2026-04-02T14:27:05,landscape
